age,Dept,location,education,recruitment_type,job_level,rating,onsite,awards,Certification,Salary,Age in Company,Hike,Weight,satisfied
55.98,1,1,2,1,1,1,1,0,0,81323,0.02,13,69,1
25.19,2,1,1,2,2,3,0,1,0,169367,3.54,15,59,0
41.43,1,1,2,1,2,4,1,9,0,142688,12.85,30,74,1
38.32,3,2,2,1,2,4,1,8,0,100371,15.94,1,76,1
51.75,4,2,2,3,3,3,1,4,1,104383,3.27,5,56,1
57.98,5,2,2,1,1,3,1,8,0,171165,12.93,2,55,1
37.65,3,2,2,1,1,5,1,11,1,124363,2.69,30,77,1
45.21,1,1,2,3,1,5,1,11,1,74133,13.69,2,69,1
53.24,5,1,1,2,1,4,0,3,0,146728,18.36,9,50,1
33.72,2,1,1,4,2,4,0,4,1,193233,5.27,8,59,1
26.32,2,1,1,2,1,3,0,3,0,130856,4.37,30,48,1
51.19,1,1,1,4,3,3,0,6,1,196569,6.12,23,49,1
25.84,3,1,1,3,2,3,0,11,1,193680,2.67,18,41,1
31.01,4,1,1,4,2,4,0,8,0,129602,4.94,22,60,1
51.75,1,2,2,1,2,1,1,1,0,130067,21.56,21,71,0
26.08,5,2,1,2,2,3,0,4,1,173975,3.32,14,45,0
48.92,3,2,1,2,3,3,0,1,0,56343,12.51,2,54,0
23.03,2,1,1,4,1,4,0,4,1,76964,0.3,16,41,1
28.46,3,1,1,2,1,4,0,1,0,121928,6.53,25,58,1
58.53,3,1,2,3,2,3,1,2,0,96558,22.45,20,87,1
23.25,2,1,1,4,3,4,0,9,0,154102,0.88,26,46,0
53.01,3,1,2,1,2,2,1,9,0,67163,17.85,10,65,1
33.67,2,1,1,2,2,4,0,2,0,140901,11.44,5,54,0
24.5,3,2,2,1,5,1,1,4,1,110929,0.27,19,77,0
41.62,3,1,1,4,3,4,0,4,1,97123,15.31,10,47,1
58.79,5,1,2,3,2,4,1,11,1,159702,37.76,2,58,0
53.81,5,2,2,3,3,3,1,9,0,138480,10.84,22,63,1
35.81,3,2,2,3,1,2,1,11,1,132605,14.72,25,50,1
57.23,3,2,1,2,2,2,0,9,0,188854,21.87,16,47,0
48.27,3,1,2,3,5,4,1,7,0,94238,10.0,23,59,1
42.99,2,1,2,1,3,2,1,6,1,65691,4.08,11,72,1
30.57,2,2,2,3,2,1,1,10,1,78509,5.77,5,76,0
59.25,4,2,1,4,1,1,0,10,1,88521,11.76,22,40,0
40.92,2,1,2,1,4,1,1,5,1,103086,13.19,14,60,0
59.55,5,2,2,3,2,5,1,1,0,155591,18.57,16,59,1
26.74,3,1,1,3,2,3,0,6,1,139474,0.15,0,52,1
53.28,5,1,2,1,3,1,1,10,1,73636,29.77,13,70,0
48.31,3,1,1,2,5,4,0,1,0,163718,13.53,25,48,0
51.51,2,1,2,1,2,4,1,9,0,125768,21.86,7,72,1
24.62,2,1,2,1,2,5,1,11,1,132734,2.68,26,53,0
41.92,5,1,1,2,3,4,0,11,1,102489,15.67,14,40,0
54.57,3,2,2,1,1,5,1,11,1,91259,19.73,15,54,1
32.12,4,2,2,3,2,1,1,6,1,180840,4.13,10,89,0
26.32,4,2,1,2,3,4,0,2,0,174432,0.43,18,52,0
44.16,4,2,1,2,3,1,0,6,1,196654,19.13,9,44,1
35.92,3,2,1,4,2,3,0,7,0,150993,3.99,29,58,1
21.3,3,1,2,1,1,2,1,6,1,134958,0.13,3,53,1
55.27,1,1,2,1,1,1,1,12,1,112116,25.64,1,86,0
37.01,2,1,2,3,1,4,1,10,1,63482,6.76,26,83,1
58.16,2,1,2,3,1,5,1,5,1,110859,36.22,21,77,1
26.21,2,1,2,3,4,4,1,6,1,174304,4.14,28,87,1
58.74,1,1,2,3,3,3,1,5,1,117243,11.2,20,88,0
52.88,4,2,2,1,3,3,1,3,0,198610,17.38,5,86,1
23.14,2,2,2,1,2,4,1,12,1,93954,1.62,15,72,1
21.69,5,1,2,3,1,4,1,12,1,59589,0.65,9,73,0
44.35,3,1,2,3,4,4,1,8,0,197674,14.99,10,90,1
43.15,3,2,1,2,1,4,0,12,1,148452,9.6,25,55,1
